Lake ,Pload,TP,Chla
cayuga,0.49,0.014,3.2
cross,33.53,0.076,19.5
keuka,0.1,0.008,5.7
sacandaga res.,0.18,0.009,4.8
saratoga,1.6,0.025,11.8
seneca,0.38,0.01,6.1
swinging bridge,7.07,0.057,28.7
conesus,0.38,0.02,9.9
lower st. regis,0.41,0.017,7.9
allegheny,3.31,0.016,3.7
badin,16.66,0.042,7.2
blewett falls,91.07,0.09,4.2
fontana,2.88,0.011,3.4
hickory,6.08,0.047,7.3
high rock,14.78,0.09,14.3
hiwasee,1.79,0.015,5.7
mountain island,4.31,0.018,5.6
norman,0.73,0.019,5.8
rhodhiss lake,14.24,0.061,3.6
santeelah lake,0.68,0.011,5.4
lake tillery,14.92,0.04,6.8
waterville lake,93.3,0.103,3.8
waccamaw lake ,0.06,0.018,3.6
ashtabula,1.46,0.26,40.9
darling,0.48,0.274,60.1
lamoure,1.35,0.438,19.7
matejcek,1.51,0.228,2.7
sakakawea,4.49,0.016,6.9
sweet briar,1.71,0.092,39
beach city res.,27.15,0.122,10.9
buckeye lake,0.51,0.179,186.6
charles mill res.,5.56,0.127,67.1
deer creek res.,5.54,0.098,9.9
delaware res.,12.49,0.086,10.9
dillon res.,32.91,0.163,27.4
lake grant,8.51,0.113,40.5
hoover res.,1.74,0.04,13
mosquito creek res.,0.32,0.058,36.3
pleasant hill res.,3.51,0.036,22.8
grand lake of st. marys,0.49,0.148,79.2
atwood res.,1.67,0.031,16.4
berlin res.,5.87,0.042,15.5
holiday,8.41,0.125,55.4
o'shaughnessy res.,70.73,0.208,5.5
rocky fork res.,2.05,0.067,38
altus res.,0.42,0.041,14.8
arbuckle,0.4,0.02,7
elsworth,0.24,0.037,8.4
eufaula,4.16,0.081,4.4
fort cobb res.,0.57,0.038,15
fort supply res.,0.44,0.07,9.7
frances,36.7,0.142,8
grnd lake o'the cherokees,6.9,0.087,6.8
hefner,0.45,0.057,5.7
keystone res.,16.48,0.136,21.4
oologah res.,3.45,0.059,5.1
tenkiller ferry res.,2.13,0.039,6.6
thunderbird,0.32,0.027,8.4
brownlee res.,33.47,0.079,16.2
hills creek res.,3.66,0.038,2.3
oxbow res.,183.51,0.071,10.3
suttle lake,1.7,0.031,9.2
blanchard res.,9.66,0.064,15.2
conneaut,0.51,0.023,7.6
greenlane res.,12.83,0.066,24
pymatuning res.,0.23,0.07,56.3
shenango river res.,3.92,0.058,26.8
beaver run res.,1.7,0.009,5.2
beltzville,0.55,0.01,4.9
canadohta,0.78,0.02,19.2
harveys,0.27,0.015,6
indian,0.11,0.008,5.2
naomi,0.28,0.014,5.5
ontelaunee,4.78,0.04,11.8
conewago,0.39,0.027,14
pcono,0.93,0.024,5
wallenpaupack,0.36,0.015,9.6
slatersville,5.61,0.032,8.1
turner reservoir,77.4,0.135,22.9
fishing creek res.,53.03,0.143,2.8
greenwood,8.69,0.061,8.2
hartwell,0.83,0.013,6.2
marion,3.54,0.055,8.7
murray,1.45,0.024,6.4
robinson,0.38,0.014,8.6
wylie,8.38,0.045,5.4
lake keowee,0.31,0.008,2.8
saluda lake,15.23,0.046,1.5
alvin,1.42,0.067,4.7
angostura res.,0.53,0.019,3.7
deerfield,0.19,0.033,3.6
pactola,1.17,0.011,1.5
richmond,0.11,0.187,18.5
sand,7.07,0.0489,65.8
sheridan,0.19,0.053,15.4
east vermillion,0.3,0.211,100.8
boone res.,10.73,0.052,11.4
cherokee lake,3.83,0.051,12.2
chickamauga res.,9.12,0.031,3.1
douglas lake,5.55,0.026,4.6
ft. loudoun res.,16.95,0.054,4.8
